,0
0,-4305.838532813592
1,5984.284904149361
2,7678.266046485631
3,-1521.9968965814915
4,0.0
5,0.0
6,0.0
7,396.7820886822883
8,-2926.2424098176416
9,2469.4133238387294
10,4997.732626349432
11,3330.6133040664718
12,-964.3036131486297
13,0.0
14,0.0
15,0.0
16,0.0
17,-1306.2555871182121
18,-193.36409522476606
19,-6326.074419841869
20,3889.985023401212
21,-699.2531889181118
22,-498.3054715611506
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
