,0
0,1231986.089945136
1,1237487.8535576286
2,1242044.3588835485
3,1238460.131513169
4,1240119.788958104
5,1247873.5929027724
6,1251047.848735693
7,1249687.336879917
8,1250753.016596901
9,1251842.1161660412
10,1248935.0273157572
11,1250769.2716265786
12,1251633.7589390571
13,1260569.6115023931
14,1265203.8412720805
15,1280015.0003669746
16,1279536.023382525
17,1287483.5100306245
18,1286933.3713658033
19,1274980.0358219019
20,1277494.9242009027
21,1284159.4767227652
22,1281364.5210882018
23,1283243.2434644392
24,1277312.7550395967
25,1277605.888063899
26,1278935.3789549884
27,1272672.422339327
28,1272160.862132306
29,1276733.7144455374
30,1277135.4840945022
31,1268553.6321053032
32,1301026.223851478
33,1295089.0500530985
34,1304123.648989237
35,1312296.392729883
36,1305426.0340396399
37,1308943.2669107693
38,1311547.8250024929
39,1326828.3964493172
40,1332923.3145084234
41,1348894.387355714
42,1342847.835412142
43,1352544.04919769
44,1345550.3001670311
45,1340743.357720624
46,1346415.4518315438
47,1349840.8367032423
48,1349752.0242483479
49,1351321.9475253413
50,1356671.0654213452
51,1350865.1298177266
52,1355259.957675104
53,1368911.0791996506
54,1371893.9834579034
55,1372819.0953677965
56,1372610.911318601
57,1374454.2763317185
58,1378044.0461154997
59,1380154.6251939288
60,1381085.5643483289
61,1375935.3240940908
62,1378823.2821950295
