,0
0,1000000.0
1,999704.348215368
2,1000526.3807692993
3,993598.1927619977
4,994035.7896224069
5,986973.1525639807
6,979675.7298880871
7,979529.0650754507
8,965080.7837018372
9,963620.1083217994
10,967332.9531025485
11,926633.7552456277
12,966577.1629707293
13,957872.9196905547
14,959489.8254682359
15,960338.4261002357
16,975217.8344380272
17,1014587.5246395138
18,985884.3968800788
19,963693.2794324929
20,959655.0110057174
21,972416.9461353602
22,973424.9711645916
23,992781.110304726
24,1024462.9464081877
25,1026956.1152989349
26,973742.8511631032
27,989430.4702324613
28,986620.0903306708
29,979646.7507413967
30,928496.3054166393
31,928235.0631276685
32,918479.5937263755
33,908325.835191553
34,873696.3220779543
35,917213.7096339874
36,901496.4194159631
37,898232.1054925185
38,890336.687041772
39,852675.0961763315
40,845856.7549395781
41,866792.3844418649
42,827499.8573108223
43,818076.1498025779
44,804625.6713943129
45,866333.0278416425
46,882813.7172951822
47,916749.6594156437
48,924128.4009284008
49,912965.6632748205
50,941637.738158483
51,962927.0460529644
52,941663.5309398377
53,922565.0584799947
54,1002860.8059247134
55,986725.2144794923
56,999477.5407485695
57,1017852.6363622971
58,989866.0629182481
59,951491.1286698768
60,974825.0832887505
61,999760.9668537377
62,1030306.712232178
63,1043870.1996033824
64,1035564.9306054825
65,1013959.536498184
66,1020113.3461706492
67,1068039.763131926
68,1074780.029599081
69,1031905.0278773711
70,1054577.6964963851
71,1068628.8850378604
72,1070000.7756450432
73,1028934.2033760904
74,1055060.9187128015
75,1046666.5822704361
76,1063531.7241874058
77,1083317.3429566044
78,1076808.163808448
79,1076036.7598164275
80,1104364.6557675207
81,1102602.4904808514
82,1106149.8812064203
83,1144125.2908090628
84,1140773.0118397446
85,1157337.6406491932
86,1133704.1813276238
87,1163972.9856020205
88,1137668.3569731475
89,1140241.0579468613
90,1108505.0304987712
91,1124395.2671777087
92,1117777.0408697885
93,1160060.828903081
94,1152336.1716527285
95,1135435.7571048338
96,1124973.8741062635
97,1118617.4516138548
98,1157476.9771023216
99,1135104.273245521
100,1159212.3856306057
101,1169536.805301272
102,1193692.814711261
103,1186958.640983825
104,1180623.0199599436
105,1198940.1887918103
106,1201393.911050468
107,1202239.657570295
108,1204111.6679035309
109,1196754.590993193
110,1198842.7121595228
111,1198703.5344183112
112,1177492.7294463576
113,1169296.839193638
114,1159320.4839655696
115,1171695.0183799365
116,1176058.2538677885
117,1140745.8503850289
118,1144241.0544967388
119,1145888.8666185446
120,1171000.9796207682
121,1173121.435462111
122,1186219.475790401
123,1174379.0634201332
124,1178422.6567070794
125,1147028.4526947346
126,1159443.108362899
127,1135980.884366106
128,1134813.3222787513
129,1142890.36059516
130,1136478.681015951
131,1173943.7611034208
132,1176852.6949504667
133,1220398.748698246
134,1236837.8672908312
135,1247860.081033102
136,1264019.4401579874
